"RecNo","ExtractedBy","Author","Year","FocalSpC","FocalSpL","MultiplePred","PredSpC","PredSpL","PredGuild","PredTo","Setting","Treatment","Season","Design","TreatmentDuration","duration_days","ResponsePeriod","ControlType","Sex","Age","N","Nobs","NTreat","Ncontrol","SubjectID","ResponseID","Type","Category","SubCategory","ResponseDetails","PredictedDirection","Direction","d","l_95","u_95","v","Calculation","Control_mean","Control_se","Control_sd","Treatment_mean","Treatment_se","Treatment_sd","control_median","control_lowerquartile","control_upperquartile","treament_median","treament_lowerquartile","treatment_upperquartile","Beta_estimate","Beta_se","Beta_sd","l95CI","U95CI","SE","t","T","Z","F","Wald","X2","H","U","p","Details","FocalSpL_corrected"
"28","KJM","Coslovsky",2012,"Great tit","Parus major","N","sparrowhawk","Accipiter nisus","Bird","A","Field","AV","breeding","among","10 days",10,"during","NonPred","F","A",124,124,62,62,"112","246","LifeHistory","reproduction","EggSize","egg mass",-1,1,0.2832,-0.0705,0.637,0.0326,"means and sd in ESM",1.58,NA,0.1,1.6,NA,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,2.487,NA,NA,NA,0.116,"","","Parus_major"
"29","JDAT","Kullberg",1998,"Willow tit","Parus montanus","N","Eurasian pygmy owl","Glaucidium passerinum","Bird","A","Lab","AVM","non-breeding","within","20 sec",0.000462963,"after","Blank","both","A",12,23,11,12,"3","49","Behaviour","AntiPredator","Avoidance","ProportionShelterForaging",1,1,0.04733,-0.3562,1.3027,0.179111,"Fig2a means and se",0.01529,0.11337,NA,0.16051,0.06497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Parus_montanus"
"29","JDAT","Kullberg",1998,"Willow tit","Parus montanus","N","Eurasian sparrowhawk","Accipiter nisus","Bird","A","Lab","AVG","non-breeding","within","5 sec",0.000115741,"after","Blank","both","A",12,24,12,12,"3","49","Behaviour","AntiPredator","Avoidance","ProportionShelterForaging",1,1,0.813,-0.196,1.6455,0.180436,"Fig2a means and se",0.01529,0.11337,NA,0.28153,0.08153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Parus_montanus"
"29","JDAT","Kullberg",1998,"Willow tit","Parus montanus","N","Eurasian pygmy owl","Glaucidium passerinum","Bird","A","Lab","AVM","non-breeding","within","20 sec",0.000462963,"after","Blank","both","A",12,23,11,12,"3","50","Behaviour","AntiPredator","Vigilance","ScanningFrequency",1,1,0.0124,-0.8058,0.8305,0.174246,"fig 2b means and se",0.02374,0.03925,NA,0.02542,0.04486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Parus_montanus"
"29","JDAT","Kullberg",1998,"Willow tit","Parus montanus","N","Eurasian sparrowhawk","Accipiter nisus","Bird","A","Lab","AVG","non-breeding","within","5 sec",0.000115741,"after","Blank","both","A",12,24,12,12,"3","50","Behaviour","AntiPredator","Vigilance","ScanningFrequency",1,1,0.9373,0.0943,1.7802,0.184969,"fig 2b means and se",0.02374,0.03925,NA,0.13196,0.02972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Parus_montanus"
"33","JDAT","Peluc",2008,"Orange-crowned warbler","Vermivora celata","N","Western Scrub Jay","Aphelocoma californica","Bird","N","Field","AV","breeding","among","10 days",10,"after","Blank","F","A",24,24,12,12,"40","122","Behaviour","AntiPredator","Avoidance","NestBuildingHeight (lower = safer)",1,-1,-1.2672,-2.144,-0.3904,0.20012,"Fig1 calculation in EXCEL",0.739927,0.24898,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Vermivora_celata"
"33","JDAT","Peluc",2008,"Orange-crowned warbler","Vermivora celata","N","Western Scrub Jay","Aphelocoma californica","Bird","N","Field","AV","breeding","among","10 days",10,"after","NonPred","F","A",24,24,12,12,"40","122","Behaviour","AntiPredator","Avoidance","NestBuildingHeight (lower = safer)",1,-1,-1.2759,-2.1537,-0.3981,0.200584,"Fig1 calculation in EXCEL",1.089177,0.363986,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Vermivora_celata"
"33","JDAT/KJM","Peluc",2008,"Orange-crowned warbler","Vermivora celata","N","Western Scrub Jay","Aphelocoma californica","Bird","N","Field","AV","breeding","within","45 min",0.0625,"during","NonPred","both","A",16,16,8,8,"40","123","Behaviour","ParentalCare","Provisioning","PropChangeProvisioningRate (ground nests)",-1,1,-1.8633,-3.0368,-0.6898,0.358495,"fig 3, means and se",0.0241,0.1232,NA,-0.5563,0.112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Vermivora_celata"
"33","JDAT/KJM","Peluc",2008,"Orange-crowned warbler","Vermivora celata","N","Western Scrub Jay","Aphelocoma californica","Bird","N","Field","AV","breeding","within","45 min",0.0625,"during","NonPred","both","A",16,16,8,8,"40","123","Behaviour","ParentalCare","Provisioning","PropChangeProvisioningRate (off ground nests)",-1,1,-8.4794,-11.5764,-5.3823,2.49872,"fig 3, means and se",-0.0319,0.0481,NA,-0.9148,0.028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Vermivora_celata"
"35","JDAT","Zanette",2011,"Song sparrow","Melospiza melodia","Y","","","mixed","B","Field","A","breeding","among","130 days",130,"after","NonPred","F","A",24,24,12,12,"33","103","LifeHistory","reproduction","Nestlings","NoffspringPerYear",-1,1,-1.8757,-2.8358,-0.9156,0.239963,"Fig1A, raw data",5.9474,0.3607,NA,3.7301,0.3607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Melospiza_melodia"
"35","JDAT","Zanette",2011,"Song sparrow","Melospiza melodia","Y","","","mixed","B","Field","A","breeding","among","130 days",130,"after","NonPred","F","A",24,24,12,12,"33","103","LifeHistory","reproduction","ClutchSize","ClutchSize",-1,1,-0.9055,-1.7456,-0.0653,0.183747,"Fig1B, raw data",7.1025,0.1941,NA,6.5178,0.1953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Melospiza_melodia"
"35","JDAT","Zanette",2011,"Song sparrow","Melospiza melodia","Y","","","mixed","B","Field","A","breeding","among","130 days",130,"after","NonPred","F","A",24,24,12,12,"33","103","LifeHistory","reproduction","Nestlings","PropEggsNoHatched",-1,-1,1.0563,0.2022,1.9104,0.189911,"Fig1C, raw data",0.049672,0.026942,NA,0.143422,0.026578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Melospiza_melodia"
"35","JDAT","Zanette",2011,"Song sparrow","Melospiza melodia","Y","","","mixed","B","Field","A","breeding","among","130 days",130,"after","NonPred","F","A",24,24,12,12,"33","103","LifeHistory","reproduction","Nestlings","PropChicksDeadBeforeFledge",-1,-1,0.9978,0.1493,1.8462,0.187407,"Fig1D, raw data",0.125343,0.054874,NA,0.306931,0.054874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Melospiza_melodia"
"35","JDAT","Zanette",2011,"Song sparrow","Melospiza melodia","Y","","","mixed","B","Field","A","breeding","among","130 days",130,"after","NonPred","F","A",24,24,12,12,"33","103","LifeHistory","reproduction","EggSize","EggMass",-1,1,1.0438,0.1909,1.8967,0.189367,"Fig3A, raw data",2.7675,0.0772,NA,3.0315,0.0753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Melospiza_melodia"
"35","JDAT","Zanette",2011,"Song sparrow","Melospiza melodia","Y","","","mixed","B","Field","A","breeding","among","130 days",130,"after","NonPred","F","A",24,24,12,12,"33","103","LifeHistory","reproduction","EggSize","BroodMass",-1,1,-0.9889,-1.8366,-0.1413,0.187042,"Fig3B, raw data",44.7326,1.6324,NA,39.3283,1.6628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Melospiza_melodia"
"35","JDAT","Zanette",2011,"Song sparrow","Melospiza melodia","Y","","","mixed","B","Field","A","breeding","among","130 days",130,"after","NonPred","F","A",24,24,12,12,"33","104","Behaviour","ParentalCare","Incubation","NestlingTemp (as a proxy for incubation effort)",-1,1,-1.0997,-1.9582,-0.2412,0.19186,"Fig3C, raw data",27.2222,0.9445,NA,23.8333,0.9136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Melospiza_melodia"
"35","JDAT","Zanette",2011,"Song sparrow","Melospiza melodia","Y","","","mixed","B","Field","A","breeding","among","130 days",130,"after","NonPred","F","A",24,24,12,12,"33","105","Behaviour","AntiPredator","Avoidance","VegDensityNest",1,1,1.1973,0.3285,2.0662,0.196534,"Fig4A, raw data",-0.49989,0.248613,NA,0.508768,0.259268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Melospiza_melodia"
"35","JDAT","Zanette",2011,"Song sparrow","Melospiza melodia","Y","","","mixed","B","Field","A","breeding","among","130 days",130,"after","NonPred","F","A",24,24,12,12,"33","106","Behaviour","AntiPredator","Avoidance","FlightDistance",1,-1,1.4279,0.5316,2.3242,0.209143,"Fig4B, raw data",111.355,23.2923,NA,246.4054,32.9227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Melospiza_melodia"
"35","JDAT","Zanette",2011,"Song sparrow","Melospiza melodia","Y","","","mixed","B","Field","A","breeding","among","130 days",130,"after","NonPred","F","A",24,24,12,12,"33","107","Behaviour","ParentalCare","Incubation","TimeOnNest",-1,1,-0.6472,-1.4681,0.1736,0.175394,"Fig4C, raw data",18.521,0.9846,NA,16.6451,0.7469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Melospiza_melodia"
"35","JDAT","Zanette",2011,"Song sparrow","Melospiza melodia","Y","","","mixed","B","Field","A","breeding","among","130 days",130,"after","NonPred","F","A",24,24,12,12,"33","107","Behaviour","ParentalCare","Incubation","TimeOffNest",-1,-1,0.2795,-0.5246,1.0835,0.168294,"Fig4C, raw data",7.9813,0.7297,NA,8.5835,0.5583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Melospiza_melodia"
"35","JDAT","Zanette",2011,"Song sparrow","Melospiza melodia","Y","","","mixed","B","Field","A","breeding","among","130 days",130,"after","NonPred","F","A",24,24,12,12,"33","108","Behaviour","ParentalCare","Provisioning","FeedingVisitsPerHour",-1,1,-0.9714,-1.8174,-0.1254,0.186325,"Fig4D, raw data",10.8658,1.0392,NA,7.9086,0.7779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Melospiza_melodia"
"39","KJM","Walters",2017,"Brown-headed cowbird","Malothrus mater","Y","","","Bird","A","Semi-natural","AV","breeding","within","10 days",10,"after","NonPred","both","A",80,160,80,80,"d","4","Physiology","Condition","Mass","body mass (g)",-1,1,0.2805,-0.0309,-0.5919,0.025246,"from Figure1a",45.26,0.29,NA,46.06,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,9.8,NA,NA,NA,NA,"0.003","","Molothrus_ater"
"39","KJM","Walters",2017,"Brown-headed cowbird","Malothrus mater","Y","","","Bird","A","Semi-natural","AV","breeding","within","10 days",10,"after","NonPred","both","A",80,160,80,80,"d","4","Physiology","Condition","Mass","fat mass (g)",-1,1,0.4088,0.0957,0.722,0.025522,"from Figure1b",2.79,0.21,NA,3.72,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,15.1,NA,NA,NA,NA,"0.001","","Molothrus_ater"
"39","KJM","Walters",2017,"Brown-headed cowbird","Malothrus mater","Y","","","Bird","A","Semi-natural","AV","breeding","within","10 days",10,"after","NonPred","both","A",80,160,80,80,"d","4","Physiology","Condition","Mass","lean mass (g)",-1,1,-0.0048,-0.3147,0.3051,0.025,"mean+se in main text",33.96,0.22,NA,33.95,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,0.1,NA,NA,NA,NA,"0.81","","Molothrus_ater"
"40","KJM","Basso",2014,"Great tit","Parus major","N","sparrowhawk","Accipiter nisus","Bird","A","Field","AV","breeding","among","3 months",90,"after","NonPred","both","N",78,78,43,35,"101","186","Physiology","Condition","Growth","Nestling mass growth days 2-8",-1,1,-0.0322,-0.4784,0.414,0.0518,"Table 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.031,0.224,NA,NA,NA,NA,"",NA,NA,0.02,NA,NA,NA,NA,"0.888","","Parus_major"
"40","KJM","Basso",2014,"Great tit","Parus major","N","sparrowhawk","Accipiter nisus","Bird","A","Field","AV","breeding","among","3 months",90,"after","NonPred","both","N",78,78,43,35,"101","186","Physiology","Condition","Growth","Nestling mass growth days 8-15",-1,1,-0.0478,-0.494,0.3985,0.0518,"Table 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.064,0.306,NA,NA,NA,NA,"",NA,NA,0.044,NA,NA,NA,NA,"0.834","","Parus_major"
"40","KJM","Basso",2014,"Great tit","Parus major","N","sparrowhawk","Accipiter nisus","Bird","A","Field","AV","breeding","among","3 months",90,"after","NonPred","both","N",78,78,43,35,"101","186","Physiology","Condition","Growth","nestling wing growth days 8-15",-1,1,0.0072,-0.439,0.4534,0.0518,"Table 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.018,0.491,NA,NA,NA,NA,"",NA,NA,0.001,NA,NA,NA,NA,"0.971","","Parus_major"
"40","KJM","Basso",2014,"Great tit","Parus major","N","sparrowhawk","Accipiter nisus","Bird","A","Field","AV","breeding","among","3 months",90,"after","NonPred","both","N",38,38,21,17,"101","186","Physiology","Condition","Growth","tarsus growth days 8-15",-1,1,-0.1771,-0.8178,0.4636,0.1069,"Figure 4, then tab 1",1.628421,0.186896,NA,1.493684,0.164339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Parus_major"
"40","KJM","Basso",2014,"Great tit","Parus major","N","sparrowhawk","Accipiter nisus","Bird","A","Field","AV","breeding","among","3 months",90,"after","NonPred","both","N",41,41,22,19,"101","186","Physiology","Condition","Growth","tarsus growth days 8-15",-1,1,0.8645,0.2228,1.5062,0.1072,"Figure 4, then tab 1",1.072632,0.809978,NA,1.725263,0.685174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Parus_major"
"40","KJM","Basso",2014,"Great tit","Parus major","N","sparrowhawk","Accipiter nisus","Bird","A","Field","AV","breeding","among","3 months",90,"after","NonPred","F","A",78,78,43,35,"102","187","Behaviour","ParentalCare","Incubation","duration of incubation",-1,-1,-0.2464,-0.6942,0.2015,0.0522,"Table 4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.199,0.184,NA,NA,NA,NA,"",NA,NA,1.171,NA,NA,NA,NA,"0.311","","Parus_major"
"40","KJM","Basso",2014,"Great tit","Parus major","N","sparrowhawk","Accipiter nisus","Bird","A","Field","AV","breeding","among","3 months",90,"after","NonPred","F","A",78,78,43,35,"102","189","LifeHistory","Phenology","LayDate","laying date",1,1,-0.045,-0.4912,0.4013,0.0518,"Table 4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.282,1.42,NA,NA,NA,NA,"",NA,NA,0.039,NA,NA,NA,NA,"0.848","","Parus_major"
"40","KJM","Basso",2014,"Great tit","Parus major","N","sparrowhawk","Accipiter nisus","Bird","A","Field","AV","breeding","among","3 months",90,"after","NonPred","F","A",78,78,43,35,"102","190","LifeHistory","reproduction","ClutchSize","clutch size",-1,1,0.1134,-0.3332,0.05599,0.0519,"Table 4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.227,0.456,NA,NA,NA,NA,"",NA,NA,0.248,NA,NA,NA,NA,"0.632","","Parus_major"
"40","KJM","Basso",2014,"Great tit","Parus major","N","sparrowhawk","Accipiter nisus","Bird","A","Field","AV","breeding","among","3 months",90,"after","NonPred","F","A",78,78,43,35,"102","190","LifeHistory","reproduction","EggSize","mean egg mass",-1,1,-0.2685,-0.7167,0.1797,0.0523,"Table 4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.029,0.024,NA,NA,NA,NA,"",NA,NA,1.391,NA,NA,NA,NA,"0.272","","Parus_major"
"40","KJM","Basso",2014,"Great tit","Parus major","N","sparrowhawk","Accipiter nisus","Bird","A","Field","AV","breeding","among","3 months",90,"after","NonPred","F","A",78,78,43,35,"102","191","LifeHistory","Phenology","DevelopmentalTime","hatching date (rearing since parental trait)",1,1,-0.0467,-0.4929,0.3996,0.0518,"Table 4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.287,1.406,NA,NA,NA,NA,"",NA,NA,0.042,NA,NA,NA,NA,"0.843","","Parus_major"
"40","KJM","Basso",2014,"Great tit","Parus major","N","sparrowhawk","Accipiter nisus","Bird","A","Field","AV","breeding","among","3 months",90,"after","NonPred","both","A",78,78,43,35,"102","191","LifeHistory","Phenology","DevelopmentalTime","FledgingAge",1,1,0.1962,-0.251,0.6435,0.0521,"Table 4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.334,0.388,NA,NA,NA,NA,"",NA,NA,0.743,NA,NA,NA,NA,"0.414","","Parus_major"
"40","KJM","Basso",2014,"Great tit","Parus major","N","sparrowhawk","Accipiter nisus","Bird","A","Field","AV","breeding","among","3 months",90,"after","NonPred","both","A",22,22,11,11,"102","192","LifeHistory","reproduction","Nestlings","fledging success",-1,1,-0.2092,-1.0472,0.6289,0.182812,"fig 5, mp = n, np=n",5.442308,0.995879,NA,4.788462,0.981162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Parus_major"
"40","KJM","Basso",2014,"Great tit","Parus major","N","sparrowhawk","Accipiter nisus","Bird","A","Field","AV","breeding","among","3 months",90,"after","NonPred","both","A",19,19,10,9,"102","192","LifeHistory","reproduction","Nestlings","fledging success",-1,1,0.0659,-0.8348,0.9667,0.211226,"fig 5 mp = p, np = n",4.019231,1.000785,NA,4.211538,0.990973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Parus_major"
"40","KJM","Basso",2014,"Great tit","Parus major","N","sparrowhawk","Accipiter nisus","Bird","A","Field","AV","breeding","among","3 months",90,"after","NonPred","both","A",19,19,11,8,"102","192","LifeHistory","reproduction","Nestlings","fledging success",-1,1,0.6948,-0.2423,1.632,0.228615,"fig 5 mp = n, np=p",2.903846,1.000785,NA,4.942308,0.986068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Parus_major"
"40","KJM","Basso",2014,"Great tit","Parus major","N","sparrowhawk","Accipiter nisus","Bird","A","Field","AV","breeding","among","3 months",90,"after","NonPred","both","A",19,19,11,8,"102","192","LifeHistory","reproduction","Nestlings","fledging success",-1,1,0,-0.9107,0.9107,0.215909,"fig 5 mp = p, np = p",3.826923,0.986068,NA,3.826923,0.995879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Parus_major"
"43","KJM","Goldberg",2020,"Soras","Porzana carolina","N","Great Horned Owl","Bubo virginianus","Bird","A","Field","A","non-breeding","among","2 weeks",14,"during","NonPred","both","A",10,10,5,5,"109","247","Behaviour","AntiPredator","Mobbing","alarm calling: number of calls per hour",1,1,1.6852,0.0642,3.3062,0.684,"chi-square",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,4.152,NA,NA,"0.042","","Porzana_carolina"
"45","JDAT","Lilliendahl",1997,"European greenfinch","Chloris chloris","N","Eurasian sparrowhawk","Accipiter nisus","Bird","A","Lab","VG","non-breeding","within","2 days",2,"after","disturbance","both","A",28,28,14,14,"30a","97","Physiology","Condition","Mass","BodyMass",-1,1,-0.0703,-0.8113,0.6706,0.142945,"Table1 means and se Flock A",22.76,0.5,NA,27.62,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Carduelis_chloris"
"45","JDAT","Lilliendahl",1997,"European greenfinch","Chloris chloris","N","Eurasian sparrowhawk","Accipiter nisus","Bird","A","Lab","VG","non-breeding","within","2 days",2,"after","disturbance","both","A",32,32,16,16,"30b","97","Physiology","Condition","Mass","BodyMass",-1,1,-0.0258,-0.7188,0.6672,0.12501,"Table 1 means and se FlockB",27.73,0.5,NA,27.68,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Carduelis_chloris"
"45","JDAT","Lilliendahl",1997,"European greenfinch","Chloris chloris","N","Eurasian sparrowhawk","Accipiter nisus","Bird","A","Lab","VG","non-breeding","within","2 days",2,"after","disturbance","both","A",28,28,14,14,"30a","98","Behaviour","Intake","Foraging","LatencyToResumeFeeding",-1,-1,2.3301,1.3703,3.2899,0.239813,"Table1 means and se Flock A",89.7,23.5,NA,787,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Carduelis_chloris"
"45","JDAT","Lilliendahl",1997,"European greenfinch","Chloris chloris","N","Eurasian sparrowhawk","Accipiter nisus","Bird","A","Lab","VG","non-breeding","within","2 days",2,"after","disturbance","both","A",32,32,16,16,"30b","98","Behaviour","Intake","Foraging","LatencyToResumeFeeding",-1,-1,1.7251,0.9134,2.5368,0.1717,"Table 1 means and se FlockB",118.2,21.3,NA,950.6,174.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Carduelis_chloris"
"46","JDAT","Gentle",2001,"Great tit","Parus major","N","Eurasian sparrowhawk","Accipiter nisus","Bird","A","Field","VG","non-breeding","within","3 weeks",21,"after","disturbance","both","A",40,80,40,40,"17","76","Behaviour","Intake","Foraging","LatencyResume",-1,-1,1.3754,0.888,1.8627,0.061823,"Table 2",22.35,1.04,NA,64.55,6.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Parus_major"
"46","JDAT","Gentle",2001,"Great tit","Parus major","N","Eurasian sparrowhawk","Accipiter nisus","Bird","A","Field","VG","non-breeding","within","3 weeks",21,"after","disturbance","both","A",40,80,40,40,"17","76","Behaviour","Intake","Foraging","LatencyResumeNormalRate",-1,-1,1.0703,0.6017,1.5389,0.05716,"Table 2",60.9,2.62,NA,151.6,19.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Parus_major"
"46","JDAT","Gentle",2001,"Great tit","Parus major","N","Eurasian sparrowhawk","Accipiter nisus","Bird","A","Field","VG","non-breeding","within","3 weeks",21,"after","disturbance","F","J",6,6,3,3,"17","77","Physiology","Condition","Mass","ResidualFatReserve",-1,1,0.1604,-1.4425,1.7633,0.668811,"Fig1a",0.6644,0.5461,NA,0.7731,0.4012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Parus_major"
"46","JDAT","Gentle",2001,"Great tit","Parus major","N","Eurasian sparrowhawk","Accipiter nisus","Bird","A","Field","VG","non-breeding","within","3 weeks",21,"after","disturbance","F","A",19,19,8,11,"17","77","Physiology","Condition","Mass","ResidualFatReserve",-1,1,-0.4614,-1.3839,0.461,0.221512,"Fig1a",0.9724,0.3598,NA,0.4832,0.3546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Parus_major"
"46","JDAT","Gentle",2001,"Great tit","Parus major","N","Eurasian sparrowhawk","Accipiter nisus","Bird","A","Field","VG","non-breeding","within","3 weeks",21,"after","disturbance","M","J",16,16,7,9,"17","77","Physiology","Condition","Mass","ResidualFatReserve",-1,1,-0.3155,-1.3092,0.6783,0.257078,"Fig1a",0.7627,0.3417,NA,0.434,0.4633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Parus_major"
"46","JDAT","Gentle",2001,"Great tit","Parus major","N","Eurasian sparrowhawk","Accipiter nisus","Bird","A","Field","VG","non-breeding","within","3 weeks",21,"after","disturbance","M","A",28,28,12,16,"17","77","Physiology","Condition","Mass","ResidualFatReserve",-1,1,-0.7057,-1.4766,0.0653,0.154726,"Fig1a",0.3201,0.3934,NA,-0.5833,0.2537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Parus_major"
"47","KJM","Basso",2015,"Great tit","Parus major","N","short-tailed weasel","Mustela erminea","Mammal","N","Field","AV","breeding","among","14 days",14,"during","NonPred","F","A",33,33,17,16,"103","248","Behaviour","ParentalCare","Incubation","parental care: incubation effort (min/day)",-1,1,0.2585,-0.427,0.944,0.122336,"means and se from text",449.617,10.773,NA,438.85,10.338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,0.904,NA,NA,NA,NA,"0.369","","Parus_major"
"47","KJM","Basso",2015,"Great tit","Parus major","N","short-tailed weasel","Mustela erminea","Mammal","N","Field","AV","breeding","among","14 days",14,"during","NonPred","F","A",33,33,17,16,"103","248","Behaviour","ParentalCare","Incubation","parental care: incubation effort (min/night)",-1,1,0.7868,0.0783,1.4954,0.1307,"F statistic and sample size from text",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1229.287,544.19,NA,NA,NA,NA,"",NA,NA,5.103,NA,NA,NA,NA,"0.032","","Parus_major"
"47","KJM","Basso",2015,"Great tit","Parus major","N","short-tailed weasel","Mustela erminea","Mammal","N","Field","AV","breeding","among","14 days",14,"during","NonPred","M","A",33,33,17,16,"103","248","Behaviour","ParentalCare","Incubation","foraging: incubation feedig of female",-1,1,-0.1108,-0.794,0.5724,0.1215,"means and se from text",1.163,1.379,NA,0.482,1.704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,-1.417,NA,NA,NA,NA,NA,"0.157","","Parus_major"
