RecNo,ExtractedBy,Author,Year,FocalSpC,FocalSpL,MultiplePred,PredSpC,PredSpL,PredGuild,Setting,Treatment,Season,Design,TreatmentDuration,ResponsePeriod,ControlType,Sex,Age,N,Nobs,NTreat,Ncontrol,SubjectID,ResponseID,Type,Category,SubCategory,ResponseDetails,Direction,d,l_95,u_95,v,Calculation,Beta (estimate),l95CI,U95CI,SE,t,T,Z,F,X2,H,U,p,Details
211,JDAT,Ghalambor,2000,Red-breasted nuthatch,Sitta canadensis,N,House Wren,Troglodytes aedon,Bird,Field,AV,breeding,among,30 min,after,NonPred,M,A,10,20,10,10,8,61,Behaviour,ParentalCare,Incubation,AbortedVisits (interruption of incubation),-1,0.7117,-0.1921,1.6156,0.212665,Fig1a,,,,,,,,,,,,,
211,JDAT,Ghalambor,2000,White-breasted nuthatch,Sitta carolinensis,N,Sharp-shinned Hawk,Accipiter striatus,Bird,Field,AV,breeding,among,30 min,after,NonPred,M,A,9,18,9,9,9,61,Behaviour,ParentalCare,Incubation,AbortedVisits (interruption of incubation),-1,0.4891,-0.4486,1.4267,0.228867,Fig1a,,,,,,,,,,,,,
211,JDAT,Ghalambor,2000,White-breasted nuthatch,Sitta carolinensis,N,House Wren,Troglodytes aedon,Bird,Field,AV,breeding,among,30 min,after,NonPred,M,A,9,18,9,9,9,61,Behaviour,ParentalCare,Incubation,AbortedVisits (interruption of incubation),-1,2.0616,0.9183,3.205,0.340289,Fig1a,,,,,,,,,,,,,
903,JDAT,Mougeot,2000,Blue petrel,Halobaena caerulea,N,Brown Skua,"Catharacta antarctica lönnbergi,",Bird,Field,A,breeding,among,22 min,during,Blank,both,A,22,44,22,22,10,62,Behaviour,CostlyBehaviours,Courtship,NMateAttractionCalls,1,-1.252,-1.8983,-0.6058,0.1087,Fig4,,,,,,,,,,,,,
903,JDAT,Mougeot,2000,Blue petrel,Halobaena caerulea,N,Brown Skua,"Catharacta antarctica lönnbergi,",Bird,Field,A,breeding,among,22 min,during,NonPred,both,A,22,66,22,22,10,63,Behaviour,CostlyBehaviours,Courtship,NMateAttractionCalls,1,-1.0632,-1.6062,-0.5202,0.0767,Fig4,,,,,,,,,,,,,
903,JDAT,Mougeot,2000,Thin-billed prion,Pachyptila belcheri,N,Brown Skua,"Catharacta antarctica lönnbergi,",Bird,Field,A,breeding,among,22 min,during,Blank,both,A,15,30,15,15,11,64,Behaviour,CostlyBehaviours,Courtship,NMateAttractionCalls,1,-1.3432,-2.1355,-0.551,0.1634,Fig4,,,,,,,,,,,,,
903,JDAT,Mougeot,2000,Thin-billed prion,Pachyptila belcheri,N,Brown Skua,"Catharacta antarctica lönnbergi,",Bird,Field,A,breeding,among,22 min,during,NonPred,both,A,15,45,15,15,11,65,Behaviour,CostlyBehaviours,Courtship,NMateAttractionCalls,1,-1.1138,-1.775,-0.4527,0.1138,Fig4,,,,,,,,,,,,,
903,JDAT,Mougeot,2000,Common diving petrel,Pelecanoides urinatrix,N,Brown Skua,"Catharacta antarctica lönnbergi,",Bird,Field,A,breeding,among,22 min,during,Blank,both,A,24,48,24,24,12,66,Behaviour,CostlyBehaviours,Courtship,NMateAttractionCalls,1,-0.7065,-1.2897,-0.1234,0.0885,Fig4,,,,,,,,,,,,,
903,JDAT,Mougeot,2000,Common diving petrel,Pelecanoides urinatrix,N,Brown Skua,"Catharacta antarctica lönnbergi,",Bird,Field,A,breeding,among,22 min,during,NonPred,both,A,24,72,24,24,12,67,Behaviour,CostlyBehaviours,Courtship,NMateAttractionCalls,1,-0.6721,-1.1743,-0.17,0.0656,Fig4,,,,,,,,,,,,,
903,JDAT,Mougeot,2000,Antarctic prion,Pachyptila desolata,N,Brown Skua,"Catharacta antarctica lönnbergi,",Bird,Field,A,breeding,among,22 min,during,Blank,both,A,14,28,14,14,13,68,Behaviour,CostlyBehaviours,Courtship,NMateAttractionCalls,1,-0.6046,-1.3622,0.1529,0.1494,Fig4,,,,,,,,,,,,,
903,JDAT,Mougeot,2000,Antarctic prion,Pachyptila desolata,N,Brown Skua,"Catharacta antarctica lönnbergi,",Bird,Field,A,breeding,among,22 min,during,NonPred,both,A,14,42,14,14,13,69,Behaviour,CostlyBehaviours,Courtship,NMateAttractionCalls,1,-0.4264,-1.0744,0.2216,0.1093,Fig4,,,,,,,,,,,,,
903,JDAT,Mougeot,2000,South Georgia diving-petrel,Pelecanoides georgicus,N,Brown Skua,"Catharacta antarctica lönnbergi,",Bird,Field,A,breeding,among,22 min,during,Blank,both,A,21,42,21,21,14,70,Behaviour,CostlyBehaviours,Courtship,NMateAttractionCalls,1,-0.5301,-1.1455,0.0853,0.0986,Fig4,,,,,,,,,,,,,
903,JDAT,Mougeot,2000,South Georgia diving-petrel,Pelecanoides georgicus,N,Brown Skua,"Catharacta antarctica lönnbergi,",Bird,Field,A,breeding,among,22 min,during,NonPred,both,A,21,63,21,21,14,71,Behaviour,CostlyBehaviours,Courtship,NMateAttractionCalls,1,-0.0965,-0.6206,0.4276,0.0715,Fig4,,,,,,,,,,,,,
903,JDAT,Mougeot,2000,White-headed petrel,Pterodroma lessonii,N,Brown Skua,"Catharacta antarctica lönnbergi,",Bird,Field,A,breeding,among,22 min,during,Blank,both,A,24,48,24,24,15,72,Behaviour,CostlyBehaviours,Courtship,NMateAttractionCalls,1,0.1037,-0.4625,0.6699,0.0834,Fig4,,,,,,,,,,,,,
903,JDAT,Mougeot,2000,White-headed petrel,Pterodroma lessonii,N,Brown Skua,"Catharacta antarctica lönnbergi,",Bird,Field,A,breeding,among,22 min,during,NonPred,both,A,24,72,24,24,15,73,Behaviour,CostlyBehaviours,Courtship,NMateAttractionCalls,1,-0.0213,-0.5113,0.4687,0.0625,Fig4,,,,,,,,,,,,,
903,JDAT,Mougeot,2000,Wilson's storm-petrel,Oceanites oceanicus,N,Brown Skua,"Catharacta antarctica lönnbergi,",Bird,Field,A,breeding,among,22 min,during,Blank,both,A,20,40,20,20,16,74,Behaviour,CostlyBehaviours,Courtship,NMateAttractionCalls,1,-0.3826,-1.008,0.2429,0.1018,Fig4,,,,,,,,,,,,,
903,JDAT,Mougeot,2000,Wilson's storm-petrel,Oceanites oceanicus,N,Brown Skua,"Catharacta antarctica lönnbergi,",Bird,Field,A,breeding,among,22 min,during,NonPred,both,A,20,60,20,20,16,75,Behaviour,CostlyBehaviours,Courtship,NMateAttractionCalls,1,-0.0528,-0.5896,0.484,0.075,Fig4,,,,,,,,,,,,,
46,JDAT,Gentle,2001,Great tit,Parus major,N,Eurasian sparrowhawk,Accipiter nisus,Bird,Field,VG,non-breeding,within,3 weeks,after,disturbance,both,A,40,80,40,40,17,76,Behaviour,Intake,Foraging,LatencyResume,-1,1.3754,0.888,1.8627,0.061823,Table 2,,,,,,,,,,,,,
46,JDAT,Gentle,2001,Great tit,Parus major,N,Eurasian sparrowhawk,Accipiter nisus,Bird,Field,VG,non-breeding,within,3 weeks,after,disturbance,both,A,40,80,40,40,17,76,Behaviour,Intake,Foraging,LatencyResumeNormalRate,-1,1.0703,0.6017,1.5389,0.05716,Table 2,,,,,,,,,,,,,
46,JDAT,Gentle,2001,Great tit,Parus major,N,Eurasian sparrowhawk,Accipiter nisus,Bird,Field,VG,non-breeding,within,3 weeks,after,disturbance,F,J,6,6,3,3,17,77,Physiology,Condition,Mass,ResidualFatReserve,1,0.1604,-1.4425,1.7633,0.668811,Fig1a,,,,,,,,,,,,,
46,JDAT,Gentle,2001,Great tit,Parus major,N,Eurasian sparrowhawk,Accipiter nisus,Bird,Field,VG,non-breeding,within,3 weeks,after,disturbance,F,A,19,19,8,11,17,77,Physiology,Condition,Mass,ResidualFatReserve,1,-0.4614,-1.3839,0.461,0.221512,Fig1a,,,,,,,,,,,,,
46,JDAT,Gentle,2001,Great tit,Parus major,N,Eurasian sparrowhawk,Accipiter nisus,Bird,Field,VG,non-breeding,within,3 weeks,after,disturbance,M,J,16,16,7,9,17,77,Physiology,Condition,Mass,ResidualFatReserve,1,-0.3155,-1.3092,0.6783,0.257078,Fig1a,,,,,,,,,,,,,
46,JDAT,Gentle,2001,Great tit,Parus major,N,Eurasian sparrowhawk,Accipiter nisus,Bird,Field,VG,non-breeding,within,3 weeks,after,disturbance,M,A,28,28,12,16,17,77,Physiology,Condition,Mass,ResidualFatReserve,1,-0.7057,-1.4766,0.0653,0.154726,Fig1a,,,,,,,,,,,,,
89,JDAT,Hakkarainen,2001,Boreal owl,Aegolius funereus,N,American Mink,Mustela vision,Mammal,Field,L,breeding,among,1 day,after,Blank,both,J,23,23,15,8,18,78,LifeHistory,Phenology,DevelopmentTiming,FledgingAge,1,-0.3652,-1.2298,0.4993,0.1946,Table 1,,,,,0.84,,,,,,,0.41,
89,JDAT,Hakkarainen,2001,Boreal owl,Aegolius funereus,N,American Mink,Mustela vision,Mammal,Field,L,breeding,among,1 day,after,Blank,M,A,23,23,15,8,19,79,Behaviour,AntiPredator,Avoidance,BreedingDispersal,-1,0.5654,-0.3081,1.4389,0.1986,Fig 1 and calculations,,,,,0.84,,,,,,,0.41,
85,JDAT,Lange,2001,Great tit,Parus major,N,Eurasian pygmy owl,Glaucidium passerinum,Bird,Lab,V,non-breeding,within,20 min,after,Blank,M,J,9,9,9,9,20,80,Behaviour,AntiPredator,Vigilance,ScanningFrequency,1,0.681,0.1324,1.2297,0.0784,Fig1,,,,,,,,,,,,,
85,JDAT,Lange,2001,Great tit,Parus major,N,Eurasian pygmy owl,Glaucidium passerinum,Bird,Lab,V,non-breeding,within,20 min,after,Blank,M,J,9,9,9,9,20,80,Behaviour,AntiPredator,Vigilance,LongInterscanInterval,-1,-1.4028,-2.4341,-0.3715,0.276885,Fig2,,,,,,,,,,,,,
85,JDAT,Lange,2001,Great tit,Parus major,N,Eurasian pygmy owl,Glaucidium passerinum,Bird,Lab,V,non-breeding,within,20 min,after,Blank,M,J,9,9,9,9,20,81,Behaviour,CostlyBehaviours,Aggression,NAttacks,1,-0.3798,-1.312,0.5524,0.226229,Fig3a,,,,,,,,,,,,,
85,JDAT,Lange,2001,Great tit,Parus major,N,Eurasian pygmy owl,Glaucidium passerinum,Bird,Lab,V,non-breeding,within,20 min,after,Blank,M,J,9,9,9,9,20,81,Behaviour,CostlyBehaviours,Aggression,NWings-outDisplay,1,-0.6872,-1.6381,0.2636,0.235342,Fig3b,,,,,,,,,,,,,
85,JDAT,Lange,2001,Great tit,Parus major,N,Eurasian pygmy owl,Glaucidium passerinum,Bird,Lab,V,non-breeding,within,20 min,after,Blank,M,J,9,9,9,9,20,81,Behaviour,CostlyBehaviours,Aggression,NLongThreatDisplay,1,-1.0027,-1.983,-0.0225,0.250153,Fig3c,,,,,,,,,,,,,
85,JDAT,Lange,2001,Great tit,Parus major,N,Eurasian pygmy owl,Glaucidium passerinum,Bird,Lab,V,non-breeding,within,20 min,after,Blank,M,J,9,9,9,9,20,82,Behaviour,Intake,Foraging,TimeEating,1,-0.436,-1.3708,0.4989,0.227502,Text,,,,,,,,,,,,,
680,JDAT,Desrochers,2002,Black-capped chickadee,Poecile atricapillus,N,Merlin,Falco columbarius,Bird,Field,V,non-breeding,within,5 min,during,Blank,both,A,25,48,8,8,21,83,Behaviour,Intake,Foraging,NFeederVisitsPerIndividual,1,-2.4111,-3.2352,-1.5869,0.1768,Fig1a,,,,,,,,,,,,,Using the minimum value reported since N wasn't specified. Analysis level = flock
680,JDAT,Desrochers,2002,Black-capped chickadee,Poecile atricapillus,N,Eastern Screech-Owl,Megascops asio,Bird,Field,A,non-breeding,within,5 min,during,Blank,both,A,25,48,8,8,22,84,Behaviour,Intake,Foraging,NFeederVisitsPerIndividual,1,0,-0.5658,0.5658,0.0833,Fig1b,0.307,,,0.084,,,3.64,,,,,<0.001,
680,JDAT,Desrochers,2002,Red-eyed vireo,Vireo olivaceus,N,Eastern Screech-Owl,Megascops asio,Bird,Field,A,breeding,within,2 min,during,NonPred,M,A,84,36,18,18,23,85,Behaviour,AntiPredator,Mobbing,PropApproachSpeaker,1,0.101,-0.3612,0.5633,0.0556,Fig2,-1.676,,,1.21,,,,,1.91,,,0.17,
107,JDAT,Ghalambor,2002,Pygmy nuthatch,Sitta pygmaea,N,American Red Squirrel,Tamiasciurus hudsonicus,Mammal,Field,AVM,breeding,within,90 min,during,NonPred,M,A,11,22,11,11,24,86,Behaviour,ParentalCare,Incubation,Average number of incubation feeds by male,1,-0.8356,-1.7071,0.0358,0.197688,Fig2a,,,,,,,,39.96,,,,<0.0001,
107,JDAT,Ghalambor,2002,Red-breasted nuthatch,Sitta canadensis,N,American Red Squirrel,Tamiasciurus hudsonicus,Mammal,Field,AVM,breeding,within,90 min,during,NonPred,M,A,13,26,13,13,25,87,Behaviour,ParentalCare,Incubation,Average number of incubation feeds by male,1,-0.9332,-1.7427,-0.1237,0.170593,Fig2b,,,,,,,,39.96,,,,<0.0001,
107,JDAT,Ghalambor,2002,White-breasted nuthatch,Sitta carolinensis,N,American Red Squirrel,Tamiasciurus hudsonicus,Mammal,Field,AVM,breeding,within,90 min,during,NonPred,M,A,11,22,11,11,26,88,Behaviour,ParentalCare,Incubation,Average number of incubation feeds by male,1,-1.5716,-2.5277,-0.6155,0.237952,Fig2c,,,,,,,,39.96,,,,<0.0001,
107,JDAT,Ghalambor,2002,Mountain chickadee,Poecile gambeli,N,American Red Squirrel,Tamiasciurus hudsonicus,Mammal,Field,AVM,breeding,within,90 min,during,NonPred,M,A,8,16,8,8,27,89,Behaviour,ParentalCare,Incubation,Average number of incubation feeds by male,1,-4.8058,-6.7378,-2.8737,0.971727,Fig2d,,,,,,,,39.96,,,,<0.0001,
107,JDAT,Ghalambor,2002,Brown creeper,Certhia americana,N,American Red Squirrel,Tamiasciurus hudsonicus,Mammal,Field,AVM,breeding,within,90 min,during,NonPred,M,A,9,18,9,9,28,90,Behaviour,ParentalCare,Incubation,Average number of incubation feeds by male,1,-2.09,-3.2388,-0.9412,0.343561,Fig2e,,,,,,,,39.96,,,,<0.0001,
107,JDAT,Ghalambor,2002,Pygmy nuthatch,Sitta pygmaea,N,American Red Squirrel,Tamiasciurus hudsonicus,Mammal,Field,AVM,breeding,within,90 min,during,NonPred,F,A,11,22,11,11,24,91,Behaviour,ParentalCare,Incubation,proportion of time incubating by female,1,-0.2549,-1.0941,0.5842,0.183295,Fig3a,,,,,,,,1.99,,,,0.17,
107,JDAT,Ghalambor,2002,Red-breasted nuthatch,Sitta canadensis,N,American Red Squirrel,Tamiasciurus hudsonicus,Mammal,Field,AVM,breeding,within,90 min,during,NonPred,F,A,13,26,13,13,25,92,Behaviour,ParentalCare,Incubation,proportion of time incubating by female,1,0.3232,-0.4506,1.0969,0.155854,Fig3b,,,,,,,,1.99,,,,0.17,
107,JDAT,Ghalambor,2002,White-breasted nuthatch,Sitta carolinensis,N,American Red Squirrel,Tamiasciurus hudsonicus,Mammal,Field,AVM,breeding,within,90 min,during,NonPred,F,A,11,22,11,11,26,93,Behaviour,ParentalCare,Incubation,proportion of time incubating by female,1,0.7193,-0.143,1.5817,0.193578,Fig3c,,,,,,,,1.99,,,,0.17,
107,JDAT,Ghalambor,2002,Mountain chickadee,Poecile gambeli,N,American Red Squirrel,Tamiasciurus hudsonicus,Mammal,Field,AVM,breeding,within,90 min,during,NonPred,F,A,8,16,8,8,27,94,Behaviour,ParentalCare,Incubation,proportion of time incubating by female,1,-0.2285,-1.2117,0.7547,0.251632,Fig3d,,,,,,,,1.99,,,,0.17,
107,JDAT,Ghalambor,2002,Brown creeper,Certhia americana,N,American Red Squirrel,Tamiasciurus hudsonicus,Mammal,Field,AVM,breeding,within,90 min,during,NonPred,F,A,9,18,9,9,28,95,Behaviour,ParentalCare,Incubation,proportion of time incubating by female,1,1.9612,0.8369,3.0855,0.329062,Fig3e,,,,,,,,1.99,,,,0.17,
6,JDAT,Hakkarainen,2002,Pied flycatcher,Ficedula hypoleuca,N,Eurasian pygmy owl,Glaucidium passerinum,Bird,Field,A,breeding,among,4 hours,during,NonPred,both,A,30,30,15,15,29,96,Behaviour,ParentalCare,Provisioning,Provisioning rate,1,0.085,-0.4439,0.6139,0.0728,"Table1, raw data",,,,,,,,,,,,,
45,JDAT,Lilliendahl,1997,European greenfinch,Chloris chloris,N,Eurasian sparrowhawk,Accipiter nisus,Bird,Lab,VG,non-breeding,within,2 days,after,disturbance,both,A,30,10,30,30,30,97,Physiology,Condition,Mass,BodyMass,1,-0.0941,-0.3912,0.203,0.023,"Table1, raw data",,,,,,,,,,,,,
45,JDAT,Lilliendahl,1997,European greenfinch,Chloris chloris,N,Eurasian sparrowhawk,Accipiter nisus,Bird,Lab,VG,non-breeding,within,2 days,after,disturbance,both,A,30,10,30,30,30,98,Behaviour,Intake,Foraging,LatencyToResumeFeeding,-1,1.335,1.0076,1.6623,0.0279,"Table1, raw data",,,,,,,,,,,,,
498,JDAT,Pravosudov,1998,Tufted titmouse,Baeolophus bicolor,N,Sharp-shinned Hawk,Accipiter striatus,Bird,Lab,V,non-breeding,within,3 days,after,NonPred,M,A,7,14,7,7,31,99,Behaviour,AntiPredator,Vigilance,ScanningFrequency,1,0.0979,-0.9504,1.1462,0.286057,"Fig1a addition, raw data",,,,,,,,,,,,,
498,JDAT,Pravosudov,1998,Tufted titmouse,Baeolophus bicolor,N,Sharp-shinned Hawk,Accipiter striatus,Bird,Lab,V,non-breeding,within,3 days,after,NonPred,M,A,7,14,7,7,31,100,Behaviour,Intake,Foraging,LatencyToResumeResume,-1,0.3099,-0.744,1.3638,0.289144,"Fig 1b addition, raw data",,,,,,,,,,,,,
498,JDAT,Pravosudov,1998,Tufted titmouse,Baeolophus bicolor,N,Sharp-shinned Hawk,Accipiter striatus,Bird,Lab,V,non-breeding,within,3 days,after,NonPred,M,A,7,14,7,7,31,101,Physiology,Condition,Mass,MorningBodyMass,1,0,-1.0477,1.0476,0.285714,"Fig 2 addition, raw data",,,,,,,,,,,,,
498,JDAT,Pravosudov,1998,Tufted titmouse,Baeolophus bicolor,N,Sharp-shinned Hawk,Accipiter striatus,Bird,Lab,V,non-breeding,within,3 days,after,NonPred,M,A,7,14,7,7,31,101,Physiology,Condition,Mass,MeanDailyBodyMass,1,0.0016,-1.0461,1.0492,0.285714,"Fig 3 addition, raw data",,,,,,,,,,,,,
498,JDAT,Pravosudov,1998,Tufted titmouse,Baeolophus bicolor,N,Sharp-shinned Hawk,Accipiter striatus,Bird,Lab,V,non-breeding,within,3 days,after,NonPred,M,A,7,14,7,7,31,101,Physiology,Condition,Mass,EveningBodyMass,1,0.0028,-1.0449,1.0504,0.285715,"Fig 4 addition, raw data",,,,,,,,,,,,,
498,JDAT,Pravosudov,1998,Tufted titmouse,Baeolophus bicolor,N,Sharp-shinned Hawk,Accipiter striatus,Bird,Lab,V,non-breeding,within,3 days,after,NonPred,M,A,7,14,7,7,31,101,Physiology,Condition,Mass,MeanDailyMassGain,1,0.0353,-1.0124,1.0831,0.285759,"Fig 5 addition, raw data",,,,,,,,,,,,,
533,JDAT,Van Der Veen,2000,Yellowhammer,Emberiza citrinella,N,Eurasian sparrowhawk,Accipiter nisus,Bird,Lab,VM,non-breeding,within,1 min,after,disturbance,both,A,24,48,24,24,32,102,Physiology,Condition,Mass,MassChange,1,-0.1735,-0.7795,0.4325,0.095596,Fig1,,,,,,,,,,,,,
533,JDAT,Van Der Veen,2000,Yellowhammer,Emberiza citrinella,N,Eurasian sparrowhawk,Accipiter nisus,Bird,Lab,VM,non-breeding,within,1 min,after,Blank,both,A,24,48,24,24,32,102,Physiology,Condition,Mass,MassChange,1,-2.4661,-3.2685,-1.6636,0.167636,Fig1,,,,,,,,,,,,,
533,JDAT,Van Der Veen,2000,Yellowhammer,Emberiza citrinella,N,Eurasian sparrowhawk,Accipiter nisus,Bird,Lab,VM,non-breeding,within,1 min,after,disturbance,both,A,24,48,24,24,32,102,Physiology,Condition,Mass,RateMassChange,1,0.0552,-0.222,0.3325,0.02,Fig3,,,,,,,,,,,,,
533,JDAT,Van Der Veen,2000,Yellowhammer,Emberiza citrinella,N,Eurasian sparrowhawk,Accipiter nisus,Bird,Lab,VM,non-breeding,within,1 min,after,Blank,both,A,24,48,24,24,32,102,Physiology,Condition,Mass,RateMassChange,1,1.4238,1.1135,1.7342,0.0251,Fig3,,,,,,,,,,,,,
35,JDAT,Zanette,2011,Song sparrow,Melospiza melodia,Y,,,mixed,Field,A,breeding,among,130 days,after,NonPred,F,A,24,24,12,12,33,103,LifeHistory,reproduction,Nestlings,NoffspringPerYear,1,-1.8757,-2.8358,-0.9156,0.239963,"Fig1A, raw data",,,,,,,,,,,,,
35,JDAT,Zanette,2011,Song sparrow,Melospiza melodia,Y,,,mixed,Field,A,breeding,among,130 days,after,NonPred,F,A,24,24,12,12,33,103,LifeHistory,reproduction,ClutchSize,ClutchSize,1,-0.9055,-1.7456,-0.0653,0.183747,"Fig1B, raw data",,,,,,,,,,,,,
35,JDAT,Zanette,2011,Song sparrow,Melospiza melodia,Y,,,mixed,Field,A,breeding,among,130 days,after,NonPred,F,A,24,24,12,12,33,103,LifeHistory,reproduction,Nestlings,PropEggsNoHatched,-1,1.0563,0.2022,1.9104,0.189911,"Fig1C, raw data",,,,,,,,,,,,,
35,JDAT,Zanette,2011,Song sparrow,Melospiza melodia,Y,,,mixed,Field,A,breeding,among,130 days,after,NonPred,F,A,24,24,12,12,33,103,LifeHistory,reproduction,Nestlings,PropChicksDeadBeforeFletch,-1,0.9978,0.1493,1.8462,0.187407,"Fig1D, raw data",,,,,,,,,,,,,
35,JDAT,Zanette,2011,Song sparrow,Melospiza melodia,Y,,,mixed,Field,A,breeding,among,130 days,after,NonPred,F,A,24,24,12,12,33,103,LifeHistory,reproduction,ClutchSize,ClutchSize,1,-0.4609,-1.0342,0.1123,0.0855,"Fig2, raw data",,,,,,,,,,,,,
35,JDAT,Zanette,2011,Song sparrow,Melospiza melodia,Y,,,mixed,Field,A,breeding,among,130 days,after,NonPred,F,A,24,24,12,12,33,103,LifeHistory,reproduction,Nestlings,NHatchlingsPerNest,1,-0.6852,-1.2674,-0.1031,0.0882,"Fig2, raw data",,,,,,,,,,,,,
35,JDAT,Zanette,2011,Song sparrow,Melospiza melodia,Y,,,mixed,Field,A,breeding,among,130 days,after,NonPred,F,A,24,24,12,12,33,103,LifeHistory,reproduction,Nestlings,NFledglingsPerNest,1,-0.931,-1.5267,-0.3354,0.0924,"Fig2, raw data",,,,,,,,,,,,,
35,JDAT,Zanette,2011,Song sparrow,Melospiza melodia,Y,,,mixed,Field,A,breeding,among,130 days,after,NonPred,F,A,24,24,12,12,33,103,LifeHistory,reproduction,EggSize,EggMass,1,1.0438,0.1909,1.8967,0.189367,"Fig3A, raw data",,,,,,,,,,,,,
35,JDAT,Zanette,2011,Song sparrow,Melospiza melodia,Y,,,mixed,Field,A,breeding,among,130 days,after,NonPred,F,A,24,24,12,12,33,103,LifeHistory,reproduction,EggSize,BroodMass,1,-0.9889,-1.8366,-0.1413,0.187042,"Fig3B, raw data",,,,,,,,,,,,,
35,JDAT,Zanette,2011,Song sparrow,Melospiza melodia,Y,,,mixed,Field,A,breeding,among,130 days,after,NonPred,F,A,24,24,12,12,33,104,Behaviour,ParentalCare,Incubation,NestlingTemp (as a proxy for incubation effort),1,-1.0997,-1.9582,-0.2412,0.19186,"Fig3C, raw data",,,,,,,,,,,,,
35,JDAT,Zanette,2011,Song sparrow,Melospiza melodia,Y,,,mixed,Field,A,breeding,among,130 days,after,NonPred,F,A,24,24,12,12,33,105,Behaviour,AntiPredator,Avoidance,VegDensityNest,1,1.1973,0.3285,2.0662,0.196534,"Fig4A, raw data",,,,,,,,,,,,,
35,JDAT,Zanette,2011,Song sparrow,Melospiza melodia,Y,,,mixed,Field,A,breeding,among,130 days,after,NonPred,F,A,24,24,12,12,33,106,Behaviour,AntiPredator,Avoidance,FlightDistance,-1,1.4279,0.5316,2.3242,0.209143,"Fig4B, raw data",,,,,,,,,,,,,
35,JDAT,Zanette,2011,Song sparrow,Melospiza melodia,Y,,,mixed,Field,A,breeding,among,130 days,after,NonPred,F,A,24,24,12,12,33,107,Behaviour,ParentalCare,Incubation,TimeOnNest,1,-0.6472,-1.4681,0.1736,0.175394,"Fig4C, raw data",,,,,,,,,,,,,
35,JDAT,Zanette,2011,Song sparrow,Melospiza melodia,Y,,,mixed,Field,A,breeding,among,130 days,after,NonPred,F,A,24,24,12,12,33,107,Behaviour,ParentalCare,Incubation,TimeOffNest,-1,0.2795,-0.5246,1.0835,0.168294,"Fig4C, raw data",,,,,,,,,,,,,
35,JDAT,Zanette,2011,Song sparrow,Melospiza melodia,Y,,,mixed,Field,A,breeding,among,130 days,after,NonPred,F,A,24,24,12,12,33,108,Behaviour,ParentalCare,Provisioning,FeedingVisitsPerHour,1,-0.9714,-1.8174,-0.1254,0.186325,"Fig4D, raw data",,,,,,,,,,,,,
408,JDAT,Van Den Hout,2006,Ruddy turnstone,Arenaria interpres,N,"Peregrine Falcon, Sparrowhawk","Falco peregrinus, Accipiter nisus",Bird,Lab,VG,non-breeding,within,7 days,after,NonPred,both,A,3,6,3,3,34,109,Behaviour,AntiPredator,Avoidance,Latency to resume activity,1,-0.1422,-1.7445,1.4601,0.668352,"Fig1, raw data",,,,,,,,,,,,,N= 5 per trial except first trial N=3. Total 6 trials of 5 birds
408,JDAT,Van Den Hout,2006,Ruddy turnstone,Arenaria interpres,N,"Peregrine Falcon, Sparrowhawk","Falco peregrinus, Accipiter nisus",Bird,Lab,VG,non-breeding,within,7 days,after,NonPred,both,A,5,10,5,5,34,109,Behaviour,AntiPredator,Avoidance,Latency to resume activity,1,0.5661,-0.6981,1.8303,0.416023,"Fig1, raw data",,,,,,,,,,,,,N= 5 per trial except first trial N=3. Total 6 trials of 5 birds
408,JDAT,Van Den Hout,2006,Ruddy turnstone,Arenaria interpres,N,"Peregrine Falcon, Sparrowhawk","Falco peregrinus, Accipiter nisus",Bird,Lab,AVG,non-breeding,within,7 days,after,NonPred,both,A,5,10,5,5,34,109,Behaviour,AntiPredator,Avoidance,Latency to resume activity,1,1.2518,-0.1037,2.6074,0.478354,"Fig1, raw data",,,,,,,,,,,,,N= 5 per trial except first trial N=3. Total 6 trials of 5 birds
408,JDAT,Van Den Hout,2006,Ruddy turnstone,Arenaria interpres,N,"Peregrine Falcon, Sparrowhawk","Falco peregrinus, Accipiter nisus",Bird,Lab,AVG,non-breeding,within,3.5 days,after,NonPred,both,A,5,30,5,5,34,109,Behaviour,AntiPredator,Avoidance,Latency to resume activity,1,0.7877,0.0448,1.5306,0.1437,"Fig1, raw data",,,,,,,,,,,,,N= 5 per trial except first trial N=3. Total 6 trials of 5 birds
408,JDAT,Van Den Hout,2006,Ruddy turnstone,Arenaria interpres,N,"Peregrine Falcon, Sparrowhawk","Falco peregrinus, Accipiter nisus",Bird,Lab,VG,non-breeding,within,7 days,after,NonPred,both,A,3,6,3,3,34,110,Physiology,Condition,FlightPerformance,PectoralMuscleThickness,1,0.5597,-1.0716,2.191,0.692771,"Fig2, raw data",,,,,,,,,,,,,N= 5 per trial except first trial N=3. Total 6 trials of 5 birds
408,JDAT,Van Den Hout,2006,Ruddy turnstone,Arenaria interpres,N,"Peregrine Falcon, Sparrowhawk","Falco peregrinus, Accipiter nisus",Bird,Lab,VG,non-breeding,within,7 days,after,NonPred,both,A,5,10,5,5,34,110,Physiology,Condition,FlightPerformance,PectoralMuscleThickness,1,0.5449,-0.7175,1.8073,0.414846,"Fig2, raw data",,,,,,,,,,,,,N= 5 per trial except first trial N=3. Total 6 trials of 5 birds
