complete,RecNo,ExtractedBy,Author,Year,FocalSpC,FocalSpL,MultiplePred,PredSpC,PredSpL,PredGuild,PredTo,Setting,Treatment,Season,Design,TreatmentDuration,duration_days,ResponsePeriod,ControlType,Sex,Age,N,Nobs,NTreat,Ncontrol,SubjectID,ResponseID,Type,Category,SubCategory,ResponseDetails,PredictedDirection,Direction,d,l_95,u_95,v,Calculation,Control_mean,Control_se,Control_sd,Treatment_mean,Treatment_se,Treatment_sd,control_median,control_lowerquartile,control_upperquartile,treament_median,treament_lowerquartile,treatment_upperquartile,Beta_estimate,Beta_se,Beta_sd,l95CI,U95CI,SE,t,T,Z,F,Wald,X2,H,U,p,Details
y,107,JDAT,Ghalambor,2002,Mountain chickadee,Poecile gambeli,N,American Red Squirrel,Tamiasciurus hudsonicus,Mammal,N,Field,AVM,breeding,within,90 min,0.125,during,NonPred,F,A,8,16,8,8,27,94,Behaviour,ParentalCare,Incubation,proportion of time incubating by female,-1,1,-0.2285,-1.2117,0.7547,0.251632,Fig3d,0.00701,0.026665,,-0.00911,0.026665,,,,,,,,,,,,,,,,,1.99,,,,,0.17,
y,107,JDAT,Ghalambor,2002,Brown creeper,Certhia americana,N,American Red Squirrel,Tamiasciurus hudsonicus,Mammal,N,Field,AVM,breeding,within,90 min,0.125,during,NonPred,F,A,9,18,9,9,28,95,Behaviour,ParentalCare,Incubation,proportion of time incubating by female,-1,1,1.9612,0.8369,3.0855,0.329062,Fig3e,-0.01103,0.014023,,0.006676,0.014025,,,,,,,,,,,,,,,,,1.99,,,,,0.17,
y,6,JDAT/KJM,Hakkarainen,2002,Pied flycatcher,Ficedula hypoleuca,N,Eurasian pygmy owl,Glaucidium passerinum,Bird,A,Field,A,breeding,among,4 hours,0.333333333,during,NonPred,both,A,15,30,15,15,29,96,Behaviour,ParentalCare,Provisioning,Latency to visit nest after treatment,-1,-1,-0.0172,0.7329,0.6985,0.133338,means and se's in main text,5.4,0.87,,5.33,1.27,,,,,,,,,,,,,,0.04,,,,,,,,0.967,
y,6,JDAT/KJM,Hakkarainen,2002,Pied flycatcher,Ficedula hypoleuca,N,Eurasian pygmy owl,Glaucidium passerinum,Bird,A,Field,A,breeding,within,4 hours,0.333333333,during,NonPred,both,A,13,25,12,13,29,96,Behaviour,ParentalCare,Provisioning,Provisioning rate (owl first treatment),-1,1,0.2933,-0.4955,1.0821,0.161977,"Table1, means and se",0.55,0.13,,0.55,0.1,,,,,,,,,,,,,,0.4,,,,,,,,0.7,
y,6,JDAT/KJM,Hakkarainen,2002,Pied flycatcher,Ficedula hypoleuca,N,Eurasian pygmy owl,Glaucidium passerinum,Bird,A,Field,A,breeding,within,4 hours,0.333333333,during,NonPred,both,A,15,30,15,15,29,96,Behaviour,ParentalCare,Provisioning,Provisioning rate (blackbird first treatment),-1,1,0.1493,-0.5673,0.866,0.133705,"Table1, means and se",0.41,0.11,,0.49,0.17,,,,,,,,,,,,,,2.67,,,,,,,,0.02,
y,45,JDAT,Lilliendahl,1997,European greenfinch,Chloris chloris,N,Eurasian sparrowhawk,Accipiter nisus,Bird,A,Lab,VG,non-breeding,within,2 days,2,after,disturbance,both,A,28,28,14,14,30a,97,Physiology,Condition,Mass,BodyMass,-1,1,-0.0703,-0.8113,0.6706,0.142945,Table1 means and se Flock A,22.76,0.5,,27.62,0.6,,,,,,,,,,,,,,,,,,,,,,,
y,45,JDAT,Lilliendahl,1997,European greenfinch,Chloris chloris,N,Eurasian sparrowhawk,Accipiter nisus,Bird,A,Lab,VG,non-breeding,within,2 days,2,after,disturbance,both,A,32,32,16,16,30b,97,Physiology,Condition,Mass,BodyMass,-1,1,-0.0258,-0.7188,0.6672,0.12501,Table 1 means and se FlockB,27.73,0.5,,27.68,0.5,,,,,,,,,,,,,,,,,,,,,,,
y,45,JDAT,Lilliendahl,1997,European greenfinch,Chloris chloris,N,Eurasian sparrowhawk,Accipiter nisus,Bird,A,Lab,VG,non-breeding,within,2 days,2,after,disturbance,both,A,28,28,14,14,30a,98,Behaviour,Intake,Foraging,LatencyToResumeFeeding,-1,-1,2.3301,1.3703,3.2899,0.239813,Table1 means and se Flock A,89.7,23.5,,787,115,,,,,,,,,,,,,,,,,,,,,,,
y,45,JDAT,Lilliendahl,1997,European greenfinch,Chloris chloris,N,Eurasian sparrowhawk,Accipiter nisus,Bird,A,Lab,VG,non-breeding,within,2 days,2,after,disturbance,both,A,32,32,16,16,30b,98,Behaviour,Intake,Foraging,LatencyToResumeFeeding,-1,-1,1.7251,0.9134,2.5368,0.1717,Table 1 means and se FlockB,118.2,21.3,,950.6,174.9,,,,,,,,,,,,,,,,,,,,,,,
Shinichi,498,JDAT,Pravosudov,1998,Tufted titmouse,Baeolophus bicolor,N,Sharp-shinned Hawk,Accipiter striatus,Bird,A,Lab,V,non-breeding,within,3 days,3,after,NonPred,M,A,7,14,7,7,31,99,Behaviour,AntiPredator,Vigilance,ScanningFrequency,1,1,1.637,,,,"Table1 (direction from fig 1a), https://www.psychometrica.de/effect_size.html",,,,,,,,,,,,,,,,,,,,,2.37,,,,,,0.02,wilcoxan signed-ranks tests
Shinichi,498,JDAT,Pravosudov,1998,Tufted titmouse,Baeolophus bicolor,N,Sharp-shinned Hawk,Accipiter striatus,Bird,A,Lab,V,non-breeding,within,3 days,3,after,NonPred,M,A,7,14,7,7,31,100,Behaviour,Intake,Foraging,LatencyToResumeResume,-1,-1,1.637,,,,Table 1 (direction from fig 1b) https://www.psychometrica.de/effect_size.html,,,,,,,,,,,,,,,,,,,,,2.37,,,,,,0.02,wilcoxan signed-ranks tests
Shinichi,498,JDAT,Pravosudov,1998,Tufted titmouse,Baeolophus bicolor,N,Sharp-shinned Hawk,Accipiter striatus,Bird,A,Lab,V,non-breeding,within,3 days,3,after,NonPred,M,A,7,14,7,7,31,101,Physiology,Condition,Mass,MorningBodyMass,-1,1,-0.043,,,,Table 1 (direction from fig 2) https://www.psychometrica.de/effect_size.html,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,0.93,wilcoxan signed-ranks tests
Shinichi,498,JDAT,Pravosudov,1998,Tufted titmouse,Baeolophus bicolor,N,Sharp-shinned Hawk,Accipiter striatus,Bird,A,Lab,V,non-breeding,within,3 days,3,after,NonPred,M,A,7,14,7,7,31,101,Physiology,Condition,Mass,MeanDailyBodyMass,-1,1,0.889,,,,Table 1 (direction from Fig 3) https://www.psychometrica.de/effect_size.html,,,,,,,,,,,,,,,,,,,,,1.52,,,,,,0.13,wilcoxan signed-ranks tests
Shinichi,498,JDAT,Pravosudov,1998,Tufted titmouse,Baeolophus bicolor,N,Sharp-shinned Hawk,Accipiter striatus,Bird,A,Lab,V,non-breeding,within,3 days,3,after,NonPred,M,A,7,14,7,7,31,101,Physiology,Condition,Mass,EveningBodyMass,-1,1,1.637,,,,Table 1 (direction from Fig 4) https://www.psychometrica.de/effect_size.html,,,,,,,,,,,,,,,,,,,,,2.37,,,,,,0.02,wilcoxan signed-ranks tests
Shinichi,498,JDAT,Pravosudov,1998,Tufted titmouse,Baeolophus bicolor,N,Sharp-shinned Hawk,Accipiter striatus,Bird,A,Lab,V,non-breeding,within,3 days,3,after,NonPred,M,A,7,14,7,7,31,101,Physiology,Condition,Mass,MeanDailyMassGain,-1,1,1.637,,,,Table 1 (direction from Fig 5) https://www.psychometrica.de/effect_size.html,,,,,,,,,,,,,,,,,,,,,2.37,,,,,,0.03,wilcoxan signed-ranks tests
y,533,JDAT,Van Der Veen,2000,Yellowhammer,Emberiza citrinella,N,Eurasian sparrowhawk,Accipiter nisus,Bird,A,Lab,VM,non-breeding,within,1 min,0.001388889,after,disturbance,both,A,24,48,24,24,32,102,Physiology,Condition,Mass,MassChange,-1,1,-0.2323,0.039117,24,0.095596,Fig1,-0.1987,0.047142,,-0.2323,0.039117,,,,,,,,,,,,,,,,,,,,,,,
y,533,JDAT,Van Der Veen,2000,Yellowhammer,Emberiza citrinella,N,Eurasian sparrowhawk,Accipiter nisus,Bird,A,Lab,VM,non-breeding,within,1 min,0.001388889,after,Blank,both,A,24,48,24,24,32,102,Physiology,Condition,Mass,MassChange,-1,1,-2.2996,-3.0288,-1.5704,0.13842,Fig1,0.147844,0.029087,,-0.2323,0.039117,,,,,,,,,,,,,,,,,,,,,,,
y,533,JDAT,Van Der Veen,2000,Yellowhammer,Emberiza citrinella,N,Eurasian sparrowhawk,Accipiter nisus,Bird,A,Lab,VM,non-breeding,within,1 min,0.001388889,after,disturbance,both,A,19,38,19,19,32,102,Physiology,Condition,Mass,RateMassChange,-1,1,-0.086,-0.7222,0.5502,0.10536,Fig3a,1.092,0.179,,1.021,0.209,,,,,,,,,,,,,,,,,,,,,,,
y,533,JDAT,Van Der Veen,2000,Yellowhammer,Emberiza citrinella,N,Eurasian sparrowhawk,Accipiter nisus,Bird,A,Lab,VM,non-breeding,within,1 min,0.001388889,after,disturbance,both,A,20,40,20,20,32,102,Physiology,Condition,Mass,RateMassChange,-1,1,0.2575,-0.3678,0.8799,0.100829,fig3b,0.713,0.129,,0.878,0.163,,,,,,,,,,,,,,,,,,,,,,,
y,533,JDAT,Van Der Veen,2000,Yellowhammer,Emberiza citrinella,N,Eurasian sparrowhawk,Accipiter nisus,Bird,A,Lab,VM,non-breeding,within,1 min,0.001388889,after,disturbance,both,A,21,42,21,21,32,102,Physiology,Condition,Mass,RateMassChange,-1,1,0.1901,-0.4161,0.7963,0.095668,fig3c,0.568,0.109,,0.665,0.119,,,,,,,,,,,,,,,,,,,,,,,
y,533,JDAT,Van Der Veen,2000,Yellowhammer,Emberiza citrinella,N,Eurasian sparrowhawk,Accipiter nisus,Bird,A,Lab,VM,non-breeding,within,1 min,0.001388889,after,disturbance,both,A,21,42,21,21,32,102,Physiology,Condition,Mass,RateMassChange,-1,1,-0.2155,-0.8221,0.3911,0.095791,fig3d,0.486,0.083,,0.415,0.063,,,,,,,,,,,,,,,,,,,,,,,
y,533,JDAT,Van Der Veen,2000,Yellowhammer,Emberiza citrinella,N,Eurasian sparrowhawk,Accipiter nisus,Bird,A,Lab,VM,non-breeding,within,1 min,0.001388889,after,disturbance,both,A,19,38,19,19,32,102,Physiology,Condition,Mass,RateMassChange,-1,1,-0.0025,-0.6384,0.6334,0.105263,fig3e,1.618,0.338,,1.615,0.209,,,,,,,,,,,,,,,,,,,,,,,
y,533,JDAT,Van Der Veen,2000,Yellowhammer,Emberiza citrinella,N,Eurasian sparrowhawk,Accipiter nisus,Bird,A,Lab,VM,non-breeding,within,1 min,0.001388889,after,Blank,both,A,19,38,19,19,32,102,Physiology,Condition,Mass,RateMassChange,-1,1,0.4486,-0.1952,1.0925,0.107911,Fig3a,0.705,0.107,,1.021,0.209,,,,,,,,,,,,,,,,,,,,,,,
y,533,JDAT,Van Der Veen,2000,Yellowhammer,Emberiza citrinella,N,Eurasian sparrowhawk,Accipiter nisus,Bird,A,Lab,VM,non-breeding,within,1 min,0.001388889,after,Blank,both,A,20,40,20,20,32,102,Physiology,Condition,Mass,RateMassChange,-1,1,0.6223,-0.0123,1.2569,0.104841,fig3b,0.519,0.092,,0.878,0.163,,,,,,,,,,,,,,,,,,,,,,,
y,533,JDAT,Van Der Veen,2000,Yellowhammer,Emberiza citrinella,N,Eurasian sparrowhawk,Accipiter nisus,Bird,A,Lab,VM,non-breeding,within,1 min,0.001388889,after,Blank,both,A,21,42,21,21,32,102,Physiology,Condition,Mass,RateMassChange,-1,1,0.6624,0.0411,1.2836,0.100461,fig3c,0.355,0.088,,0.665,0.119,,,,,,,,,,,,,,,,,,,,,,,
y,533,JDAT,Van Der Veen,2000,Yellowhammer,Emberiza citrinella,N,Eurasian sparrowhawk,Accipiter nisus,Bird,A,Lab,VM,non-breeding,within,1 min,0.001388889,after,Blank,both,A,21,42,21,21,32,102,Physiology,Condition,Mass,RateMassChange,-1,1,0.5293,-0.0861,1.1446,0.098573,fig3d,0.227,0.093,,0.415,0.063,,,,,,,,,,,,,,,,,,,,,,,
y,533,JDAT,Van Der Veen,2000,Yellowhammer,Emberiza citrinella,N,Eurasian sparrowhawk,Accipiter nisus,Bird,A,Lab,VM,non-breeding,within,1 min,0.001388889,after,Blank,both,A,19,38,19,19,32,102,Physiology,Condition,Mass,RateMassChange,-1,1,1.7038,0.9614,2.4462,0.14346,fig3e,0.346,0.134,,1.615,0.209,,,,,,,,,,,,,,,,,,,,,,,
y,35,JDAT,Zanette,2011,Song sparrow,Melospiza melodia,Y,,,mixed,B,Field,A,breeding,among,130 days,130,after,NonPred,F,A,24,24,12,12,33,103,LifeHistory,reproduction,Nestlings,NoffspringPerYear,-1,1,-1.8757,-2.8358,-0.9156,0.239963,"Fig1A, raw data",5.9474,0.3607,,3.7301,0.3607,,,,,,,,,,,,,,,,,,,,,,,
y,35,JDAT,Zanette,2011,Song sparrow,Melospiza melodia,Y,,,mixed,B,Field,A,breeding,among,130 days,130,after,NonPred,F,A,24,24,12,12,33,103,LifeHistory,reproduction,ClutchSize,ClutchSize,-1,1,-0.9055,-1.7456,-0.0653,0.183747,"Fig1B, raw data",7.1025,0.1941,,6.5178,0.1953,,,,,,,,,,,,,,,,,,,,,,,
y,35,JDAT,Zanette,2011,Song sparrow,Melospiza melodia,Y,,,mixed,B,Field,A,breeding,among,130 days,130,after,NonPred,F,A,24,24,12,12,33,103,LifeHistory,reproduction,Nestlings,PropEggsNoHatched,-1,-1,1.0563,0.2022,1.9104,0.189911,"Fig1C, raw data",0.049672,0.026942,,0.143422,0.026578,,,,,,,,,,,,,,,,,,,,,,,
y,35,JDAT,Zanette,2011,Song sparrow,Melospiza melodia,Y,,,mixed,B,Field,A,breeding,among,130 days,130,after,NonPred,F,A,24,24,12,12,33,103,LifeHistory,reproduction,Nestlings,PropChicksDeadBeforeFledge,-1,-1,0.9978,0.1493,1.8462,0.187407,"Fig1D, raw data",0.125343,0.054874,,0.306931,0.054874,,,,,,,,,,,,,,,,,,,,,,,
y,35,JDAT,Zanette,2011,Song sparrow,Melospiza melodia,Y,,,mixed,B,Field,A,breeding,among,130 days,130,after,NonPred,F,A,24,24,12,12,33,103,LifeHistory,reproduction,EggSize,EggMass,-1,1,1.0438,0.1909,1.8967,0.189367,"Fig3A, raw data",2.7675,0.0772,,3.0315,0.0753,,,,,,,,,,,,,,,,,,,,,,,
y,35,JDAT,Zanette,2011,Song sparrow,Melospiza melodia,Y,,,mixed,B,Field,A,breeding,among,130 days,130,after,NonPred,F,A,24,24,12,12,33,103,LifeHistory,reproduction,EggSize,BroodMass,-1,1,-0.9889,-1.8366,-0.1413,0.187042,"Fig3B, raw data",44.7326,1.6324,,39.3283,1.6628,,,,,,,,,,,,,,,,,,,,,,,
y,35,JDAT,Zanette,2011,Song sparrow,Melospiza melodia,Y,,,mixed,B,Field,A,breeding,among,130 days,130,after,NonPred,F,A,24,24,12,12,33,104,Behaviour,ParentalCare,Incubation,NestlingTemp (as a proxy for incubation effort),-1,1,-1.0997,-1.9582,-0.2412,0.19186,"Fig3C, raw data",27.2222,0.9445,,23.8333,0.9136,,,,,,,,,,,,,,,,,,,,,,,
y,35,JDAT,Zanette,2011,Song sparrow,Melospiza melodia,Y,,,mixed,B,Field,A,breeding,among,130 days,130,after,NonPred,F,A,24,24,12,12,33,105,Behaviour,AntiPredator,Avoidance,VegDensityNest,1,1,1.1973,0.3285,2.0662,0.196534,"Fig4A, raw data",-0.49989,0.248613,,0.508768,0.259268,,,,,,,,,,,,,,,,,,,,,,,
y,35,JDAT,Zanette,2011,Song sparrow,Melospiza melodia,Y,,,mixed,B,Field,A,breeding,among,130 days,130,after,NonPred,F,A,24,24,12,12,33,106,Behaviour,AntiPredator,Avoidance,FlightDistance,1,-1,1.4279,0.5316,2.3242,0.209143,"Fig4B, raw data",111.355,23.2923,,246.4054,32.9227,,,,,,,,,,,,,,,,,,,,,,,
y,35,JDAT,Zanette,2011,Song sparrow,Melospiza melodia,Y,,,mixed,B,Field,A,breeding,among,130 days,130,after,NonPred,F,A,24,24,12,12,33,107,Behaviour,ParentalCare,Incubation,TimeOnNest,-1,1,-0.6472,-1.4681,0.1736,0.175394,"Fig4C, raw data",18.521,0.9846,,16.6451,0.7469,,,,,,,,,,,,,,,,,,,,,,,
y,35,JDAT,Zanette,2011,Song sparrow,Melospiza melodia,Y,,,mixed,B,Field,A,breeding,among,130 days,130,after,NonPred,F,A,24,24,12,12,33,107,Behaviour,ParentalCare,Incubation,TimeOffNest,-1,-1,0.2795,-0.5246,1.0835,0.168294,"Fig4C, raw data",7.9813,0.7297,,8.5835,0.5583,,,,,,,,,,,,,,,,,,,,,,,
y,35,JDAT,Zanette,2011,Song sparrow,Melospiza melodia,Y,,,mixed,B,Field,A,breeding,among,130 days,130,after,NonPred,F,A,24,24,12,12,33,108,Behaviour,ParentalCare,Provisioning,FeedingVisitsPerHour,-1,1,-0.9714,-1.8174,-0.1254,0.186325,"Fig4D, raw data",10.8658,1.0392,,7.9086,0.7779,,,,,,,,,,,,,,,,,,,,,,,
y,408,JDAT/KJM,Van Den Hout,2006,Ruddy turnstone,Arenaria interpres,N,Peregrine Falcon,Falco peregrinus,Bird,A,Lab,VG,non-breeding,within,7 days,7,after,NonPred,both,A,3,6,3,3,34a,109,Behaviour,AntiPredator,Avoidance,Latency to resume activity,1,1,-0.3088,-1.9186,1.301,0.674614,"Fig1, means and s.e.",0.611439141,0.34013303,,0.47396315,0.287223447,,,,,,,,,,,,,,,,,,,,,,,N= 5 per trial except first trial N=3. Total 6 trials of 5 birds
y,408,JDAT/KJM,Van Den Hout,2006,Ruddy turnstone,Arenaria interpres,N,Peregrine Falcon,Falco peregrinus,Bird,A,Lab,VG,non-breeding,within,7 days,7,after,NonPred,both,A,5,10,5,5,34b,109,Behaviour,AntiPredator,Avoidance,Latency to resume activity,1,1,0.5563,-0.707,1.8197,0.415474,"Fig1, means and s.e.",1.355908088,1.020354628,,2.726221811,1.411574305,,,,,,,,,,,,,,,,,,,,,,,N= 5 per trial except first trial N=3. Total 6 trials of 5 birds
y,408,JDAT/KJM,Van Den Hout,2006,Ruddy turnstone,Arenaria interpres,N,Peregrine Falcon,Falco peregrinus,Bird,A,Lab,AVG,non-breeding,within,7 days,7,after,NonPred,both,A,5,10,5,5,34c,109,Behaviour,AntiPredator,Avoidance,Latency to resume activity,1,1,1.2347,-0.1178,2.5873,0.476229,"Fig1, means and s.e.",3.351132888,1.87064274,,9.53403998,3.006331365,,,,,,,,,,,,,,,,,,,,,,,N= 5 per trial except first trial N=3. Total 6 trials of 5 birds
y,408,JDAT/KJM,Van Den Hout,2006,Ruddy turnstone,Arenaria interpres,N,sparrowhawk,Accipiter nisus,Bird,A,Lab,AVG,non-breeding,within,3.5 days,3.5,after,NonPred,both,,5,10,5,5,34d,109,Behaviour,AntiPredator,Avoidance,Latency to resume activity,1,1,0.6476,-0.6241,1.9193,0.42097,"Fig1, means and s.e.",6.94894003,1.836807285,,14.02344028,7.502845557,,,,,,,,,,,,,,,,,,,,,,,
y,408,JDAT/KJM,Van Den Hout,2006,Ruddy turnstone,Arenaria interpres,N,sparrowhawk,Accipiter nisus,Bird,A,Lab,AVG,non-breeding,within,3.5 days,3.5,after,NonPred,both,,5,10,5,5,34e,109,Behaviour,AntiPredator,Avoidance,Latency to resume activity,1,1,1.9343,0.4326,3.4361,0.587084,"Fig1, means and s.e.",0.860025254,0,,14.30532831,4.914988973,,,,,,,,,,,,,,,,,,,,,,,
y,408,JDAT/KJM,Van Den Hout,2006,Ruddy turnstone,Arenaria interpres,N,sparrowhawk,Accipiter nisus,Bird,A,Lab,AVG,non-breeding,within,3.5 days,3.5,after,NonPred,both,A,5,10,5,5,34f,109,Behaviour,AntiPredator,Avoidance,Latency to resume activity,1,1,0.8611,-0.4317,2.1568,0.437072,"Fig1, means and s.e.",1.28854841,0.408248559,,2.333712741,0.758163193,,,,,,,,,,,,,,,,,,,,,,,N= 5 per trial except first trial N=3. Total 6 trials of 5 birds
y,286,JDAT,Tilgar,2011,Pied flycatcher,Ficedula hypoleuca,N,Eurasian Sparrowhawk,Accipiter nisus,Bird,A,Field,V,breeding,within,1 hour,0.083333333,after,Blank,both,A,62,31,62,62,35,111,Physiology,Hormones,Corticosterone,CorticosteronLevel,1,1,1.0082,0.3323,1.6841,0.1189,"Results section, F statistic and exact p-value",,,,,,,,,,,,,,,,,,,,,,9.26,,,,,0.005,
y,286,JDAT,Tilgar,2011,Pied flycatcher,Ficedula hypoleuca,N,Eurasian Sparrowhawk,Accipiter nisus,Bird,A,Field,V,breeding,within,1 hour,0.083333333,after,Blank,both,A,62,31,62,62,35,112,Behaviour,ParentalCare,Provisioning,ProvisioningRate,-1,1,-0.7368,-1.2512,-0.2223,0.068894,"Fig1, raw data",22.6562,1.448,,17.3125,1.1875,,,,,,,,,,,,,,,,,,,,,,,
y,12,JDAT,Stuber,2014,Great tit,Parus major,N,European pine Marten,Martes martes,Mammal,A,Field,V,non-breeding,within,45min,0.0625,after,Blank,both,A,10,10,10,9,36,113,Behaviour,AntiPredator,Vigilance,NPeeksEntrance,1,1,1.2956,0.3053,2.2859,0.2553,Table2,,,,,,,,,,,,,1.8,0.390306122,,1.02,2.55,,,,,,,,,,,
y,12,JDAT,Stuber,2014,Great tit,Parus major,N,Tawny Owl,Strix aluco,Bird,A,Field,V,non-breeding,within,45 min,0.0625,after,Blank,both,A,9,9,9,9,36,113,Behaviour,AntiPredator,Vigilance,NPeeksEntrance,1,1,1.3934,0.3634,2.4234,0.2762,Table2,,,,,,,,,,,,,1.9,0.403061224,,1.11,2.69,,,,,,,,,,,
y,12,JDAT,Stuber,2014,Great tit,Parus major,N,European pine Marten,Martes martes,Mammal,A,Field,V,non-breeding,within,45min,0.0625,after,Blank,both,A,10,10,10,9,36,113,Behaviour,AntiPredator,Vigilance,NSittingAtEntrance,1,1,0.8795,-0.0635,1.8225,0.2315,Table2,,,,,,,,,,,,,0.95,0.278061224,,0.36,1.45,,,,,,,,,,,
y,12,JDAT,Stuber,2014,Great tit,Parus major,N,Tawny Owl,Strix aluco,Bird,A,Field,V,non-breeding,within,45 min,0.0625,after,Blank,both,A,9,9,9,9,36,113,Behaviour,AntiPredator,Vigilance,NSittingAtEntrance,1,1,0.5936,-0.3505,1.5377,0.232,Table2,,,,,,,,,,,,,0.82,0.349489796,,0.18,1.55,,,,,,,,,,,
y,12,JDAT,Stuber,2014,Great tit,Parus major,N,European pine Marten,Martes martes,Mammal,A,Field,V,non-breeding,within,45min,0.0625,after,Blank,both,A,10,10,10,9,36,113,Behaviour,AntiPredator,Vigilance,PeeksFrequency,1,1,0.3528,-0.5547,1.2603,0.2144,Table2,,,,,,,,,,,,,0.47,0.318877551,,-0.13,1.12,,,,,,,,,,,
y,12,JDAT,Stuber,2014,Great tit,Parus major,N,Tawny Owl,Strix aluco,Bird,A,Field,V,non-breeding,within,45 min,0.0625,after,Blank,both,A,9,9,9,9,36,113,Behaviour,AntiPredator,Vigilance,PeeksFrequency,1,1,0.7321,-0.2223,1.6864,0.2371,Table2,,,,,,,,,,,,,0.94,0.331632653,,0.3,1.6,,,,,,,,,,,
y,12,JDAT,Stuber,2014,Great tit,Parus major,N,European pine Marten,Martes martes,Mammal,A,Field,V,non-breeding,within,45min,0.0625,after,Blank,both,A,10,10,10,9,36,113,Behaviour,AntiPredator,Vigilance,AwakeningTo1stPeek,1,-1,0.2227,-0.6807,1.126,0.2124,Table2,,,,,,,,,,,,,0.4,0.426020408,,-0.41,1.26,,,,,,,,,,,
y,12,JDAT,Stuber,2014,Great tit,Parus major,N,Tawny Owl,Strix aluco,Bird,A,Field,V,non-breeding,within,45 min,0.0625,after,Blank,both,A,9,9,9,9,36,113,Behaviour,AntiPredator,Vigilance,AwakeningTo1stPeek,1,-1,0.3267,-0.6033,1.2568,0.2252,Table2,,,,,,,,,,,,,0.58,0.43622449,,-0.27,1.44,,,,,,,,,,,
y,12,JDAT,Stuber,2014,Great tit,Parus major,N,European pine Marten,Martes martes,Mammal,A,Field,V,non-breeding,within,45min,0.0625,after,Blank,both,A,10,10,10,9,36,114,Behaviour,CostlyBehaviours,Activity,Time from waking up to exiting box,-1,-1,1.6477,0.6058,2.6895,0.2826,Table2,,,,,,,,,,,,,2.41,0.446428571,,1.54,3.29,,,,,,,,,,,
y,12,JDAT,Stuber,2014,Great tit,Parus major,N,Tawny Owl,Strix aluco,Bird,A,Field,V,non-breeding,within,45 min,0.0625,after,Blank,both,A,9,9,9,9,36,114,Behaviour,CostlyBehaviours,Activity,Time from waking up to exiting box,-1,-1,2.3431,1.1433,3.5428,0.3747,Table2,,,,,,,,,,,,,2.96,0.471938776,,2.05,3.9,,,,,,,,,,,
y,12,JDAT,Stuber,2014,Great tit,Parus major,N,European pine Marten,Martes martes,Mammal,A,Field,V,non-breeding,within,45min,0.0625,after,NonPred,both,A,10,10,10,9,36,114,Behaviour,CostlyBehaviours,Activity,MorningLatency,-1,-1,0.0824,-0.8185,0.9833,0.2113,Table3,,,,,,,,,,,,,0.09,0.257653061,,-0.42,0.59,,,,,,,,,,,
y,12,JDAT,Stuber,2014,Great tit,Parus major,N,Tawny Owl,Strix aluco,Bird,A,Field,V,non-breeding,within,45 min,0.0625,after,NonPred,both,A,9,9,9,9,36,114,Behaviour,CostlyBehaviours,Activity,MorningLatency,-1,-1,-0.1943,-1.1204,0.7318,0.2233,Table3,,,,,,,,,,,,,-0.24,0.301020408,,-0.79,0.39,,,,,,,,,,,
y,53,JDAT,Ruuskanen,2017,Pied flycatcher,Ficedula hypoleuca,N,Stoat,Mustela erminea,Mammal,N,Field,OV,breeding,among,11 days,11,during,disturbance,F,A,32,32,16,16,37,115,LifeHistory,Phenology,LayDate,LayingDate,1,1,-0.1013,-0.7947,0.5921,0.12516,"Table 1, means and se from control & predator only",25.4,0.59,,25.18,0.53,,,,,,,,,,,,,,,,,,,,,,,
y,53,JDAT,Ruuskanen,2017,Pied flycatcher,Ficedula hypoleuca,N,Stoat,Mustela erminea,Mammal,N,Field,OV,breeding,among,11 days,11,during,disturbance,F,A,32,32,16,16,37,116,LifeHistory,reproduction,ClutchSize,ClutchSize,-1,1,-0.0788,-0.7721,0.6144,0.125097,"Table 1, means and se from control & predator only",6.7,0.66,,6.5,0.65,,,,,,,,,,,,,,,,,,,,,,,
y,53,JDAT,Ruuskanen,2017,Pied flycatcher,Ficedula hypoleuca,N,Stoat,Mustela erminea,Mammal,N,Field,OV,breeding,among,11 days,11,during,disturbance,both,E,32,32,16,16,37,116,LifeHistory,reproduction,EggSize,EggMass,-1,1,-0.4899,-1.1932,0.2134,0.1275,"Table 1, means and se from control & predator only",1.69,0.06,,1.6,0.03,,,,,,,,,,,,,,,,,,,,,,,
y,53,JDAT,Ruuskanen,2017,Pied flycatcher,Ficedula hypoleuca,N,Stoat,Mustela erminea,Mammal,N,Field,OV,breeding,among,11 days,11,during,disturbance,F,A,32,32,16,16,37,117,Physiology,Condition,Mass,FemaleBodyMass,-1,1,0.1004,-0.593,0.7938,0.125158,"Table 1, means and se from control & predator only",14,0.18,,14.07,0.18,,,,,,,,,,,,,,,,,,,,,,,
y,207,JDAT/KJM,Ridley,2010,Southern pied babbler,Turdoides bicolor,Y,,,Bird,A,Field,A,non-breeding,within,10 min,0.013888889,after,NonPred,both,A,10,20,10,10,38,119,Behaviour,AntiPredator,Vigilance,PropTimeSentinelPresent,1,1,1.6339,0.6216,2.6461,0.226739,Figure 2a (compare before after treatment),0.276641,0.037252,,0.459237,0.037252,,,,,,,,,,,,,,,,,,,,,,,
